Term,,Course Offering ID,Course Title,Course Credits,Course Instructors,Course Details,Time Block,Monday,Tuesday,Wednesday,Thursday,Friday
2021-2022 Fall 2021 Term,,CORE101_Fall2021_S01,Global Humanties and Social Change (A),4,Core Teaching Team,"Faculty: Core Teaching team
Level: Core
Credits: 04 credits
Pre-requisite: No
Reading/Writing: Intensive
Format: On-campus
Course Description: This course examines key moments in the global history of thought through the lens of textual analysis.  Over the course of the semester, students will develop their written rhetorical, reading, and critical thinking skills.  
Summary
In order to change the world, it is worthwhile to look at “change,” both as a historical fact and a concept that has consumed thought for generations.  This course looks at key texts in five core periods and epistemic traditions: (1) classical epistemologies and origin myths; (2) major transitions of the post-classical era; (3) Renaissance, Enlightenment, Revolution and transitions to modernity; (4) Modern Era; and (5) (Post) Colonialism.  We ask, what exactly is change - be it creation, enlightenment, conversion, metamorphosis, revolution, or evolution?  And we ask how have our ideas about “change” changed over time?
Learning Objectives:
- Students will be able to compose responses to texts related to literature, philosophy, religion, arts, in the forms of argumentative and comparative essays.
- Students will be able to explain the evolution of ideas and how those ideas influence social policy and shape perception in the contemporary world.
- Students will be able to critique each other’s perspectives in the context of group discussions.
- Students will be able to analyze texts in ways that are applicable not only in the classroom but also in the professional world beyond the classroom.",9:45 AM - 11:15 AM,0,1,0,1,0
2021-2022 Fall 2021 Term,,CORE102_Fall2021_S01,Modern Vietnamese Culture and Society (A),4,Core Teaching Team,"Faculty: Core Teaching Team
Level: Core
Credits: 04 credits
Pre-requisite: Required courses in the first two years
Reading/Writing: Intensive
Format: On-campus
Course Description: This course exposes students to a wide array of issues encountered in modern Vietnam, ranging from socio-cultural, politico-economic aspects to questions of nationalism, international relations, and globalization when examining the country in its regional and global contexts. Throughout the course, students are introduced to basic concepts in social sciences and humanities that will allow them a better understanding of their social environments as well as urge them to assess others’ interpretations with an open but critical mind. The course helps to raise students’ socio-political awareness and cultural identity, encouraging them to grow up as responsible national and global citizens.
Learning Objectives: After finishing the course, the students should be able to
- Form a multidimensional view of contemporary Vietnam built upon the interdisciplinary foundation of Vietnamese Studies
- Understand (Vietnamese) culture and society with an open but critical mind: identify problems critically from any given discourses, come up with a strong argument based on substantial evidence, and solve the identified problems logically;
- Conduct an appropriate research project independently or with a team;
- Present the results of the research project convincingly and creatively in various formats;
- Recognize and respect the diversities of communities and cultures with open-mindedness; and
- Strengthen students’ civic identity by demonstrating themselves as both Vietnamese and global citizens.",9:45 AM - 11:15 AM,0,1,0,1,0
2021-2022 Fall 2021 Term,,CORE103_Fall2021_S01,Quantitative Reasoning for a Digital Age (A),4,Core Teaching Team,"Faculty: Core Teaching team
Level: Core
Credits: 04 credits
Pre-requisite: No
Format: On-campus
Course Description: Digital technology transforms the way we live: from how we travel, to what we use for money, to how we swipe to find love. At the heart of these social, cultural, and economic changes lie mathematics and computer science. But how do we gather the information, interpret the data, and construct the algorithms that drive these advances and affect our lives? Quantitative Reasoning in a Digital Age not only develops foundational skills in mathematics and computer science, but demonstrates how computer programming and algorithmic thinking inform issues in fields as diverse as economics, psychology, history, and philosophy. Structured around project-based teamwork, students will examine how the toolkit of computational thinking can model human behavior and address real-world problems in business, education, public health, government, and other sectors. By understanding how quantitative reasoning affects modern society and modern society often affects our quantitative reasoning, students will learn to question their own assumptions about data big and small and think critically about the abundance of quantitative information that defines the decisions we make.
Learning Objectives: Students will be able to:
- Formulate research questions and collect appropriate data to address these questions
- Critically examine and identify patterns in quantitative data
- Investigate mathematical models computationally
- Effectively work in teams",9:45 AM - 11:15 AM,1,0,0,1,0
2021-2022 Fall 2021 Term,,CORE104_Fall2021_S01,Scientific Inquiry (A),4,Core Teaching Team,"Faculty: Core teaching team
Level: Core
Credits: 04 credits
Pre-requisite: No
Reading/Writing: Intensive
Format: On-campus
Course Description: Scientific Inquiry unlocks the door to discovery and explores how humans acquired our fundamental knowledge of the sciences. By engaging foundational texts and practices from across various scientific disciplines, students will understand the various processes involved in acquiring scientific knowledge and how these processes are applied to
contemporary scientific questions. Students will critically analyze the claims and evidence presented in the primary literature and use a project- and inquiry-based approach to answer important scientific questions across the various disciplines of the natural sciences. The course also focuses on understanding how to make, interpret, and challenge scientific claims by
conducting original research, and communicating the results in written reports and oral presentations. Creating connections across the Fulbright core curriculum, this course emphasizes how scientific inquiry informs public debates past and present, challenging students not only to understand the world from a scientific perspective, but also to understand how our scientific perspective shapes and is shaped by the world around us.
Learning Objectives: At the completion of this course, students will:
- Demonstrate understanding of the historical development of key scientific ideas through written communication;
- Demonstrate ability to critically evaluate scientific claims through written and/or spoken communication;
- Demonstrate ability to apply the process of scientific inquiry through forming scientific questions & hypotheses as well as collecting, analyzing, interpreting, and reporting data;
- Demonstrate basic competence in quantitative data analysis by applying the relevant skills to a collaborative project.",1:15 PM - 2:45 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,CORE105_Fall2021_S01,Design and Systems Thinking (A),4,Core Teaching Team,"Faculty: Core teaching team
Level: Core
Credits: 04 credits
Pre-requisite: No
Format: On-campus
Course Description: We learn across the Fulbright Core how transformations have happened in human history – transformations in thought, in social structures, and in individual lives. We also see how transformations happen in nature and how human intervention transforms the natural world. But what about transformation that humans create through intentional design? This might be a new mask that filters air in a superior manner, a drone that can deliver medicines to remote parts of the country faster than any vehicle, or an app that allows you to create new music depending on your mood. In this course, we showcase how innovation is linked to rigorous scientific, mathematical, and engineering methods, with an emphasis on teamwork and hands-on experience. Students may take this as an entry point into the deeper study of design and engineering, or they may apply what they learn in this introductory course to their understanding of social and economic systems, to creative fabrication in the fine arts, or to the design and development of a start-up company in collaboration with Fulbright’s Center for Entrepreneurship and Innovation. This course embraces both the art and science of creation, instilling the confidence to experiment, sometimes to fail, but ultimately to prevail in designing and building a better future.
Designing and Systems Thinking (D&ST) course introduces the principles, processes, and tools of systems thinking and design thinking that are used to identify and generate solutions to frictions in our society. The building blocks to understand systems and to approach the designing process include: how ethnographic observation can be used to frame and observe real world challenges from the consumer’s perspective; an introduction to systems thinking to understand how challenges exist in a broader context; design thinking, enabling a structured approach to developing solutions and concepts; prototyping of physical products and designs; and key engineering concepts that enable concepts to become reality. This course employs project-based learning among teams of students to identify problems, specify client, consumer, or societal needs, and design a system answering those needs. This process includes defining the product’s features and specifications, decomposing it into components, integrating it into an environment, building it, and then validating and verifying its results. For example, teams may create elements of a smart home like automatic lighting and watering, or an Internet of Things (IoT) system for drought monitoring and early warning, or an automatic hand sanitizer. They will use modules, materials, tools, and facilities available in the market or in the Fulbright Maker Space to prototype these systems. In the process, they will develop a basic command of agile methods used in project management, learn basic modern fabrication skills, and practice critical thinking, including an understanding of constraints, negotiating between options, and examining social and environmental impact.
Learning Objectives: After completing the course, students will be able to
- Understand and practice the tools and principles of systems thinking and design thinking.
- Define the requirements of potential solutions and the quantitative and qualitative specifications of a system, with consideration for potentially related factors.
- Decompose a system into deterministic components and functions, explain how they interact with each other and behave when integrated as a whole system, and explain how the system works within its environment.
- Build a working prototype and verify whether this prototype meets defined requirements and specifications.
- Improve communication skills through oral and written presentations, sharpen teamwork skills by working with other students on term projects, as well as critical thinking while giving comments to others.",3:00PM - 4:30PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,IS301_Fall2021_S01,Computational Chemistry and ChemInformatics,4,Phan Vu Xuan Hung,"Faculty: Phan Vu Xuan Hung - E: hung.phan@fulbright.edu.vn ﻿
Level: Intermediate/Advanced
Credits: 04 credits
Pre-requisite: (1) CORE 104 Scientific Inquiry (2) One intermediate-level course in either Integrated Sciences (IS), Engineering (ENG), Math (MATH) or Computer Science (CS). If you don’t meet these requirements and you are incredibly passionate to take the course, feel free to contact me. We can work it out.
Format: On-campus
Cross-listed: Integrated Science (IS), Computer Science (CS), Engineering (ENG)
Course Description: In this era, we frequently turn to a computer for a variety of tasks, from simply converting inches to centimeters to producing sophisticated music and movies. How about having a computer done chemistry? In fact, computers and data science have been applied to solve a range of problems in science, especially since the booming of quantum theories in 1930s. The course will progressively build from foundational questions and theories of atoms, molecules, and materials to the use of computing power in addressing quantum problems and big data related issues. That includes, but not limited to, designing an innovative drug, calculating and predicting molecular properties, visualizing a chemical reaction in atomic levels, or solving a set of differential equations to understand electron spinning in atoms and molecules. Using project- and inquiry-based approaches, fundamental laws, concepts and calculations in physics and chemistry will be introduced, such as Molecular Orbital Theory, Hartree Fock Theory, Density Functional Theory, Molecular Descriptors and Machine Learning in chemistry. Students will also participate in collaborative research projects that potentially leads to scientific publications.
Learning Objectives: At the completion of this course, students will: 
Recognize, articulate and critically analyze Molecular Orbital Theory Hartree Fock Theory and Density Functional Theory 
Utilize software, some governed by the above theories, to calculate, visualize and predict molecular properties 
Demonstrate understanding of and practice on digitalizing a molecule, preparing molecular descriptors and running machine learning programs to predict properties of molecules, materials and functional devices 
Analyze data statistically and present data graphically (using tools such as Excel and Python packages) 
Writing scientific reports and scientific papers
Course Materials: 
•	James B. Foresman and Aleen Frisch, Exploring Chemistry with Electronic Structure Methods, Third Edition, Gaussian, Inc., Wallingford, CT, USA, 2015. Selected chapters, sections and exercises will be assigned. (Note: there are two hard copies of this book in the library. Please always leave one copy there) 
•	Aurelien Geron, Hands-on Machine Learning with Scikit-Learn, Keras and TensorFlow, Second Edition, O’Reilly, 2019. Selected chapters, sections and exercises will be assigned. (Note: there are two hard copies of this book in the library. Please always leave one copy there) 
•	Frank Jensen, Introduction to Computational Chemistry, Third Edition, Wiley, 2017. Selected chapters, sections and exercises will be assigned. 
•	Scikit-Learn and Matplotlib 
•	Chemaxon and Chemicalize ",8:00AM - 9:45AM,0,0,1,0,1
2021-2022 Fall 2021 Term,,ECON101_Fall2021_S01,Principles of Economics I,4,Graeme Walker,"Faculty: Graeme Walker - E: graeme.walker@fulbright.edu.vn Level: Foundation
Credits: 04 credits
Pre-requisite: No. This is a required course in the Economics major. 
Format: On-campus
Course Description: Is climate change real? If so, to what extent? What are the factors causing it? And what are we willing to give up to stop it? This introductory course offers students a first touch in economics as an economist, not a student. Rather than consider hypothetical situations related to climate change, we will actually compute the empirical realities. In this course we will put economics in the context of how it analyzes and addresses real-world issues such as inequality, discrimination, and sustainability through the interplay of data and theory. While this course will be challenging, no prior knowledge of economics, statistics, or computer programming is assumed. 
Learning Objectives: By the end of this course, students will be able to:
•	Explain Economics notions such as capitalism, fairness, and rationality
•	Conduct empirical research using Excel and/or R
•	Analyze labour and goods markets using appropriate economic models
•	Evaluate different public policy approaches to correcting incomplete markets
•	Debate contemporary ideas in economic thought and research",1:15 PM - 2:45 PM,1,0,1,0,0
2021-2022 Fall 2021 Term,,SOCI202_Fall2021_S01,Digital Anthropology,4,Ian Scott Kalman,"Faculty: Ian Scott Kalman – E: ian.kalman@fulbright.edu.vn
Level: Intermediate
Credits: 04 credits
Pre-requisite: No
Format: On-campus
Course Description: Today, we live in a world characterized by connectivity unprecedented in human history. One can wake up, grab their phone, catch up with news and friends from around the world, all before leaving the bed. For all humans spending their lives in towns, villages, and cities, from one side of the world to another, most of us spend much of our lives in cyberspace. The meaning of “going there” has changed, and the Internet is fundamental to that change. We log into the Internet, go online, visit websites, surf the web, navigate pages, and so forth. Even the language we use to talk about the Internet is one of travel, of spatial belonging and exploration. This course considers how the Internet, and in particular, online communities and cyberspace are redefining what it means to be human. As much as this is a course about digital belonging, this is also a course of digital belonging. Through a reflexive analysis of our digital connectivity within the class, we can challenge our own assumptions about what it means to exist in digital spaces. Some online spaces we will explore are Social Media Influencers, E-Sports, Online Forums (including parenting, suicide, and dating), Hacktivism, Wikipedia, and, of course, Facebook. Some theoretical concepts we explore are social theories of modernization, materiality, actor network theory, social capital, identity, space, virtuality, the state, and surveillance. This course offers a general introduction to social science and anthropological research methods, and theories, with a specific emphasis on cultures of and in new media (internet, mobile phone, etc.). As a final project, students will develop and conduct a mini-ethnography of an online community of their choosing.
Learning Objectives: By the end of this class, students will be able to:
•	Design and produce an ethnographic text through writing a mini-ethnography which includes a literature review section
•	Apply qualitative anthropological methods to analyze communication and community over new media.
•	Understand core concepts in digital anthropology 
•	Select, read, and synthesize secondary sources based on research interests
•	Reflect upon their own online experiences and identity formation.",3:00PM - 4:30PM,1,0,1,0,0
2021-2022 Fall 2021 Term,,LIT301_Fall2021_S01,"Comedy, Ancient and Modern",4,Kevin Hart,"Faculty: Kevin Hart - E: kevin.hart@fulbright.edu.vn 
Level: Intermediate/Advanced
Credits: 04 credits
Pre-requisite: No
Reading/Writing: Intensive 
Format: On-campus
Course Description: This course will examine classical, pre-modern, and modern forms of comedy from a range of cultures and genres.  We will read for elements of comedy that are strange as well as familiar, and we will search for them in likely and unlikely places: in ancient philosophy as well as farcical plays; in canonical religious texts as well as medieval and modern burlesques; in satirical journalism as well as in folk humor.  We will consider how laughter has been used to undermine institutions of power, how it has been variously understood as sacred or as profane, how it has managed to vocalize taboo topics in its different cultural manifestations, and how it has been associated with everything from ritual madness to modern pathologies, from wit to buffoonery, from low art to high.
Learning Objectives: Upon course completion, students:
•	Will be able to identify major comic traditions and their social and historical contexts, formal elements, and interrelationships. 
•	Will be able to critically evaluate key problems in theories of comedy
•	Will be able to apply theories of comedy in analyses of literary texts
•	Will be able to engage in effective and sound written and spoken analysis of literary and theoretical texts.",8:00AM - 9:30AM,1,0,1,0,0
2021-2022 Fall 2021 Term,,MATH105_Fall2021_S01,Introduction to Data Analysis,4,Tran Vinh Linh,"Faculty: Tran Vinh Linh - E: linh.tran@fulbright.edu.vn
Level: Foundation
Credits: 04 credits
Pre-requisite: CORE103 Quantitative Reasoning for a Digital Age
Reading/Writing: Intensive
Format: On-campus
Course Description: More than fifty years ago, a mathematician called Samiels S. Wilks said that one dat skills of statistical thinking will be as important as the skills of reading and writing. This time is here. The purpose of this course is to introduce the key statistical and non-statistical concepts for developing statistical thinking - the essential skills to analyse data, situations and environments objectively. The key statistical concepts introduced during the course are sampling theory, missing data, descriptive statistics, inferential statistics, and a brief introduction to casual Inference. Furthermore, students develop conceptual knowledge on designing empirical studies and formulating research questions. The course is organized in an interactive way and comprises a mixture of lectures, discussions and teamwork. The course is built on the teaching philosophy of experiential learning, following the 'deep-learning' approach. Students are assessed by their in-class participation, in-class short tests, weekly homework, and final written assignment.
Learning Objectives: 
•	Understand basic statistical concepts and methods
•	Be able to identify variables and choose suitable statistical model for real world data
•	Be able to write simple Python program to utilize statistical tools on real data sets
•	Be able to interpret statistical outcomes and draw appropriate conclusion for real world models.",3:00PM - 4:30PM,1,0,1,0,0
2021-2022 Fall 2021 Term,,HIS104_Fall2021_S01,Modern East Asia,4,Mark Frank,"Faculty: Mark Frank - E: ... Level: Foundation
Credits: 04 credits
Pre-requisite: No. 
Reading/Writing: Intensive 
Format: On-campus
Cross-listed: History (HIS), Vietnamese Studies (VS)
Course Description: This course covers East Asian History from 1600 to the present with a focus is on the tumultuous 19th and 20th centuries, when China, Japan, Korea, and Vietnam underwent rapid social and political transformations in response to unprecedented internal and external pressures. Our goal is to develop a deep understanding of key historical ‘moments’, such as the Opium War and the Meiji Restoration, and the ability to situate those moments in the greater context of East Asian history. Lectures will be broad in scope while readings will be more narrowly focused. The course format will alternate between lecture and open-ended discussion. The course is structured in four major units as follows:
Unit 1: East Asian Order from 1600-1839 
Unit 2: Crisis and Adaptation (1839-1895) 
Unit 3: A New Balance of Power (1895-1945) 
Unit 4: Rebuilding after World War II (1945-present) 
Learning Objectives: Students will develop knowledge, skills, and mindsets as follows:
Knowledge: Students will develop a broad understanding of the contours of modern East Asian history and a deep understanding of certain events and figures.
Skills: Students will learn to distinguish between primary and secondary sources as well as between scholarly and non-scholarly sources, and they will develop an ability to critically evaluate texts by referring to other sources and by drawing on the knowledge they acquire in this course.
Mindsets: Students will contemplate past ways of thinking about morality, politics, and religion in East Asia in order to make sense of the region's history. By extension, we will step outside of our usual ways of thinking about ethics, politics, and religion and develop a new appreciation for their historical contingency.",9:45 AM - 11:15 AM,0,0,1,0,1
2021-2022 Fall 2021 Term,,HIS203_Fall2021_S01,History of International Relation Thought,4,Vu Minh Hoang,"Faculty: Vu Minh Hoang - E: hoang.vu@fulbright.edu.vn 
Level: Intermediate
Credits: 04 credits
Pre-requisite: No. 
Reading/Writing: Intensive 
Format: On-campus
Course Description: This course introduces students to some of the most influential theorists of International Relations by examining their ideas in the context of their lives and times. The course starts with pre-modern and early modern theorists from East and West like Thucydides, Confucius, Machiavelli, Grotius, Kant, and Hobbes. We go on to explore the development of the first modern International Relations theories at the turn of the 20th century, including Marxism, Classical Liberalism, Classical Realism. We then retrace how Neo-Liberalism and Neo-Realism fought for dominance during the Cold War. Finally, we get to the present era where Critical Theory, Constructivism, Neo-Functionalism, and Intergovernmentalism are now challenging older paradigms and bringing new voices to the International Relations debate.  
Learning Objectives:
•	Students will be introduced to the most influential International Relations theories. 
•	Students will apply their knowledge of the historical, socio-political, and personal context behind the development of International Relations theories to evaluate the strengths and weaknesses of each school of thought. 
•	Students will apply this knowledge to analyze present-day problems in international relations. 
•	Students will develop critical thinking and argumentative writing skills to synthesize their own philosophy of international relations.",3:00PM - 4:30PM,0,0,1,0,1
2021-2022 Fall 2021 Term,,PSY205_Fall2021_S01,"Introduction to Psychological Disorders, Diagnosis & Treatment",4,Matthew McDonald,"Faculty: Matthew McDonald - E: matthew.mcdonald@fulbright.edu.vn
Level: Intermediate
Credits: 04 credits
Pre-requisite: PSY 101 Introductory Psychology 
Reading/Writing: Intensive
Format: On-campus
Course Description: This course provides an introduction to psychological distress, with an emphasis on current thinking, debates and research in the field. The course examines the core concepts in defining and classifying mental health difficulties, some of the major psychological disorders across the lifespan, empirically supported approaches to treating these disorders and supporting people towards recovery of their mental health. Students will be encouraged to think critically by acknowledging the role played by sociocultural forces, differences in culture and issues of diversity in psychological distress.",1:15 PM - 2:45 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,PSY301_Fall2021_S01,Applied Social Psychology,4,Matthew McDonald,"Faculty: Matthew McDonald - E: matthew.mcdonald@fulbright.edu.vn
Level: Advanced
Credits: 04 credits
Pre-requisite: Introductory Psychology AND at least one 200-level psychology course (preferably in the Social/Developmental cluster)
Format: On-campus
Course Description: Applied Social Psychology provides students with an understanding of how knowledge produced in the subdiscipline can be used to better understand aspects of everyday life and to address broader social problems and issues. These include intimate relationships, sexuality, leadership, work, teams, environmental problems, popular culture, body image, digital gaming, social media, addiction and the conflict between traditional values and modern lifestyles. These topics will be explored in relation to our sense of self and identity, social interactions, intergroup relationships, how people develop knowledge of the world and the situated nature of human existence. The course assumes that social psychology is more than a spectator sport by making links between theory, research and action. Guiding such work is the proposition that human beings have innate dignity and should be afforded equitable chances to flourish in life.",9:45 AM - 11:15 AM,1,0,1,0,0
2021-2022 Fall 2021 Term,,ARTS101_Fall2021,Introduction to Visual Studies,4,Pamela Corey,"Level: Foundation
Credits: 04 credits
Pre-requisite: No. This is required course in Arts and Media Studies major, and serves as a prerequisite for many intermediate and advanced major courses. (If you have taken Visual Culture previously, you have already completed this requirement.) 
Reading/Writing: Intensive
Format: On-campus
Course Description: Images function as both a practical artistic medium (in advertisements for example) but also as something to be aesthetically enjoyed. They can also serve as a medium for social change as images can spread awareness about important issues and, in the digital age, reach huge numbers of people regardless of the language they speak. To better understand how images function, this course introduces students from a variety of backgrounds and interests to interdisciplinary approaches to visual studies, culture, and theory. We will learn how to analyze, evaluate, and interpret images across multiple cultural realms, including art and popular media, public and political space, advertising and commerce, and cinematic and virtual worlds. Students will develop a sound foundation in relevant theories such as the gaze, agency, semiology, the exhibitionary order, and spectatorship. Throughout the course, we will also consider how visual technologies have been crucial to the construction and representation of diverse subjectivities, and how they have intersected with broader economic, political, and cultural developments such as colonialism and globalization. Topics will be organized through three interrelated and mutually constitutive thematic units: Technologies of Vision; Spaces of Vision/Envisioning Space; and Global Visual Culture. Each unit will be concluded through a project taking creative and critical visual and/or textual form.
Learning Objectives: Upon completion of this course, students will be able to:
- analyze a variety of visual mediums through a critical lens
- formulate arguments employing relevant theories in order to discuss visual texts
- compose essays that use appropriate vocabulary to interpret and historicize visual texts. ",8:00AM - 9:30AM,0,1,0,1,0
2021-2022 Fall 2021 Term,,ARTS301_Fall2021_S01,Special Topics in Contemporary Art: Post-Asia,4,Pamela Corey,"Faculty: Pamela Corey - E: pamela.corey@fulbright.edu.vnLevel: Advanced
Credits: 04 credits
Pre-requisite or Co-requisite: ARTS101 – Introduction to Visual Studies. Recommended but not required: ARTS102 Introduction to Art History and Theory
Reading/Writing: Intensive
Format: On-campus
Course Description: This course surveys the works of Asian artists practicing in Asia and beyond from 1960 to the present, working in mediums that include painting, installation, moving image, performance, and their crossovers. Instead of geographically mapping these practices and artists by nation or region, we will examine selected case studies and specific artworks through such thematic and conceptual topics as the Body, Painting, Technology, Archive, Scale, and Voice. What this structuring offers is a way of understanding contemporary art as intellectually conditioned, transnationally networked, and as something embedded in both national and global economic and political developments. In addition, close examination of individual artists and artworks will afford us a deeper understanding of how Asian artists have navigated and continue to navigate the specificities of local histories, sensorial encounters with changing materials, forms, and sites, and the complexities of identity and belonging. Today, as we progress further into what has been projected to be 'the Asian century', the term ‘Post-Asia’ thus encourages us to think about the changing context and imagination of Asia as it informs critical analyses and representations of contemporary art in the late 20th and early 21st centuries, and offers modes of resisting cultural tropes problematically rooted in the ‘East vs West’ binary. This introductory course is required for all Art and Media Studies majors. (If you have taken Visual Culture previously, you have already completed this requirement.)",1:15 PM - 2:45 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,ECON103_Fall2021_S01,Principles of Economics II,4,Khieu Van Hoang,"Faculty: Khieu Van Hoang - E: ... 
Level: Foundation
Credits: 04 credits
Pre-requisite: No. Some basic mathematical background is assumed. 
Reading/Writing: Intensive 
Format: On-campus
Course Description: This course engages with questions related to the economy as a whole. It starts with the analysis of the structure and operation of the goods, financial, and labor markets. The interaction between these markets is analyzed using the IS_LM ad AS-AD models/ We discuss the topics of inflation capital accumulation and the aggregate production function and analyze the effects of the saving rate on the level and the growth rate of output. Finally, this course covers the topics of exchange rate regimes, fiscal and monetary policy as well as their effects on the goods, financial, and labor markets. 
Learning Objectives: By the end of this course, students will be able to:
•	By the end of this course, students will be able to
•	Explain economics notions such as aggregate demand, economic fluctuations, inflation, unemployment, and so on.
•	Analyze the economy as a whole in the short-, medium-, and long-run using appropriate economic models.
•	Evaluate the uses of fiscal and monetary policy in response to changes in the economic environment.
•	Debate contemporary ideas in economic thought and research.
Textbooks: 
BLJ = Blanchard, Olivier, and David R. Johnson. Macroeconomics. 6th ed. Pearson, 2012. ISBN: 9780133061635 
CORE = CORE, The Economy, https://www.core-econ.org/the-economy/",4:45 PM - 6:15 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,CORE104_Fall2021_S02,Scientific Inquiry (B),4,Core Teaching Team,"Faculty: Core teaching team
Level: Core
Credits: 04 credits
Pre-requisite: No
Reading/Writing: Intensive
Format: On-campus
Course Description: Scientific Inquiry unlocks the door to discovery and explores how humans acquired our fundamental knowledge of the sciences. By engaging foundational texts and practices from across various scientific disciplines, students will understand the various processes involved in acquiring scientific knowledge and how these processes are applied to
contemporary scientific questions. Students will critically analyze the claims and evidence presented in the primary literature and use a project- and inquiry-based approach to answer important scientific questions across the various disciplines of the natural sciences. The course also focuses on understanding how to make, interpret, and challenge scientific claims by
conducting original research, and communicating the results in written reports and oral presentations. Creating connections across the Fulbright core curriculum, this course emphasizes how scientific inquiry informs public debates past and present, challenging students not only to understand the world from a scientific perspective, but also to understand how our scientific perspective shapes and is shaped by the world around us.
Learning Objectives: At the completion of this course, students will:
- Demonstrate understanding of the historical development of key scientific ideas through written communication;
- Demonstrate ability to critically evaluate scientific claims through written and/or spoken communication;
- Demonstrate ability to apply the process of scientific inquiry through forming scientific questions & hypotheses as well as collecting, analyzing, interpreting, and reporting data;
- Demonstrate basic competence in quantitative data analysis by applying the relevant skills to a collaborative project.",1:15 PM - 2:45 PM,0,0,1,0,1
2021-2022 Fall 2021 Term,,HIS202_Fall2021_S01,Issues in Global Issues: Lessons from the Covid-19 Pandemic,4,Geoffrey Stewart,"Visiting Faculty: Geoffrey Stewart
Level: Intermediate
Credits: 04 credits
Pre-requisite: No
Format: Online
Course Description: The Covid-19 pandemic is the greatest global health crisis faced by humankind in more than a century. It has left no one untouched. It has disrupted national economies, global supply chains and international travel. It has sharply exposed social, economic and political inequity around the world. It has upended international norms of behaviour and highlighted the inadequacy of global institutions to promote sound health policies to protect the most vulnerable and effectively stop the spread of the virus. This is a problem-based, interdisciplinary social sciences course that addresses these issues and sets out to answer the question: What lessons can the global community learn from the Covid-19 pandemic? Over the duration of this course, students will work together to answer this question, watching short video presentations online, doing weekly readings and engaging in synchronous and asynchronous online learning activities and discussions with the instructor and their fellow classmates. In doing so, students will collaboratively seek solutions to the inter- and transnational problems that have emerged from the pandemic such as: What is the proper balance to strike between saving lives and saving the economy? How can the global community address the social, economic and political inequality that has made the effects of the pandemic so much worse for certain populations in the world? How can global institutions be strengthened to promote international cooperation and effective health policies to prevent future pandemics? 
 Learning Outcomes: On completion of this course, you will be able to
1.Define the social, economic and political challenges faced by the global community during the Covid-19 pandemic
2.Explain how international institutions responded to the Covid-19 pandemic
3.Identify the social, economic and political lessons learned by the global community from the Covid-19 pandemic
4.Propose global policies to address the health and welfare problems posed by future pandemics
5.Clearly articulate your ideas in written and oral form",6:30 PM - 8:00 PM,1,0,1,0,0
2021-2022 Fall 2021 Term,,ECON208_Fall2021_S01,Introduction to Venture Investing & Impact Investing,2,Shuyin Tang,"Visiting Faculty: Shuyin Tang
Level: Foundation
Credits: 02 credits
Pre-requisite: Students should have completed all of their core courses.
Format: On-campus
Course Description: Venture capital investing is all the rage in Vietnam right now. A successful investment and fund management strategy, however, takes much more than what we see on Shark Tank. It requires crafting an investment thesis, gaining access to the best deal-flow, conducting due diligence, structuring transactions, and managing portfolio investments right up until exit. Along the way, investors need to navigate the often sensitive and complex interpersonal dynamics between themselves and their entrepreneurs, co-investors, and Limited Partners (LPs), just to name a few.
At the same time, ESG and impact investing is gaining momentum, with some of the world's leading fund managers incorporating social, environmental and governance factors into their investment decisions. What does it mean to pursue social and environmental outcomes when investing? Is there a trade-off between social impact and financial returns? We will begin to unpack some of these issues as well.
This course is aimed at students seeking to understand the 'nuts and bolts' of early-stage investing and impact investing. It will be taught in a highly experiential manner by a current practitioner of early-stage investing in Vietnam. Students will learn the basic terminology, processes and strategies of early-stage investing and will apply them to practical case examples. Students will also hear from a number of guest speakers, including leading investors, entrepreneurs and other experts in the ecosystem, to gain a varied perspective.
Learning Objectives: At the end of this course, students should be able to:  
•	Understand the basic terminology, actors, processes and strategies of the venture capital industry across its different stages, from investment thesis formulation to due diligence to exit 
•	Apply this knowledge to real examples, considering the situation from both the investors' as well as the entrepreneurs' point of view 
•	Articulate investment recommendations through clear and concise investment memorandums 
•	Explain the rise of impact investing and ESG investing and its potential implications for the investment industry more broadly",5:00PM - 8:00PM,1,0,0,0,0
